대표지번,진행단계,위도,경도,cate_code
장위동 68-435,조합설립인가,37.6162,127.05086,4
미아동 833-2,조합설립인가,37.628995,127.02575433718266,4
상도동 363-117,조합설립인가,36.01528,129.35519,4
상도동 159-52,조합설립인가,37.4988159,126.9441045,4
서초동 1478-12,조합설립인가,37.4775521,126.9837273,4
상계동 322-8,조합설립인가,37.66727,127.07242,4
대림동 786,조합설립인가,35.86723,128.74766,4
시흥동 919,조합설립인가,37.4507049,126.9085555,4
사당동 220-70,조합설립인가,37.4856963,126.9723525,4
천호동 221,조합설립인가,37.54294,127.12733,4
명일동 15,조합설립인가,37.54841,127.15158,4
성산동 165-72,조합설립인가,35.20092,128.67494,4
갈월동 92,조합설립인가,37.54487,126.9715441,4
장위동 238-83,조합설립인가,37.6162,127.05086,4
고척동 52-332,조합설립인가,37.5034631,126.8585846,4
창동 466,조합설립인가,37.64643,127.04326,4
창동 581-3,조합설립인가,37.64643,127.04326,4
방학동 343,조합설립인가,37.66442,127.03333,4
도봉동 625-80,조합설립인가,37.6826056,127.0425405,4
보광동 360,조합설립인가,37.5267109,127.00021654781033,4
고척동 241-337,조합설립인가,37.5034631,126.8585846,4
석촌동 287,조합설립인가,37.5024827,127.103495,4
면목동 63-28,조합설립인가,37.58178,127.09034,4
망원동 454-3,조합설립인가,37.55586,126.90087,4
상도동 210-110,조합설립인가,37.4988159,126.9441045,4
개봉동 298-33,조합설립인가,37.4931629,126.851736,4
봉천동 1535-37,조합설립인가,37.484665,126.9484961,4
천호동 145-66,조합설립인가,37.54294,127.12733,4
신길동 325-57,조합설립인가,37.3335204,126.77378,4
광장동 561,조합설립인가,37.54711,127.10414,4
방화동 286-1,조합설립인가,37.57682,126.81422,4
시흥동 817,조합설립인가,37.4507049,126.9085555,4
상도동 182-13,조합설립인가,37.4988159,126.9441045,4
중화동 122,조합설립인가,37.59755,127.07783,4
사당동 156-3,조합설립인가,37.4856963,126.9723525,4
봉천동 690,조합설립인가,37.484665,126.9484961,4
봉천동 26,조합설립인가,37.484665,126.9484961,4
황학동 2085,조합설립인가,37.5675499,127.02172,4
황학동 1010,조합설립인가,37.5675499,127.02172,4
사당동 161-55,조합설립인가,37.4856963,126.9723525,4
사당동 192-1,조합설립인가,37.4856963,126.9723525,4
면목동 109-2,조합설립인가,37.58178,127.09034,4
황학동 310,조합설립인가,37.5675499,127.02172,4
장위동 232-125,조합설립인가,37.6162,127.05086,4
신공덕동 6-3,조합설립인가,37.5447,126.95606,4
자양동 588-22,조합설립인가,36.3366812,127.4490374,4
대방동 391-63,조합설립인가,37.5067997,126.92913492678356,4
번동 458-31,조합설립인가,37.62929,127.03684,4
문정동 3,조합설립인가,37.490985,127.1197504,4
신림동 655-78,조합설립인가,37.48682825,126.92826657522512,4
방이동 217,조합설립인가,37.5141564,127.1195472,4
시흥동 933,조합설립인가,37.4507049,126.9085555,4
흑석동 43-7,조합설립인가,37.5064393,126.963687,4
송파동 100,조합설립인가,37.50479,127.11369,4
오금동 36-1,조합설립인가,37.3484254,126.9293833882768,4
중화동 327-49,조합설립인가,37.59755,127.07783,4
가락동 140,조합설립인가,35.190215,128.8920173,4
상봉동 304-4,조합설립인가,35.203496599999994,128.07191852499722,4
영등포동4가 431-6,조합설립인가,37.51777,126.90368,4
신당동 236-100,조합설립인가,37.5651969,127.01321999381744,4
신대방동 360-72,조합설립인가,37.4955756,126.9195788,4
번동 458-2,조합설립인가,37.62929,127.03684,4
천호동 166-4,조합설립인가,37.54294,127.12733,4
