대표지번,진행단계,cate_code,위도,경도
한강로2가 2-116,사업시행인가,5,37.53142,126.9685
반포동 810-,착공신고,9,37.50312,127.0014
영등포동5가 34-16,정비구역지정,2,37.52095,126.9066
문래동1가 70-1,정비구역지정,2,37.51217,126.89799
천호동 410-100,일반분양승인,10,37.54294,127.12733
궁동 171-1,조합설립인가,4,35.1506767,126.9183969
일원동 615-1,관리처분인가,6,37.48754,127.08705
둔촌동 85-2,준공인가,11,37.5289579,127.1447659
구로동 685-280,조합해산,13,37.4945849,126.8845477
이촌동 203-75,조합설립추진위원회승인,3,37.52086,126.96612
서초동 1336,조합청산,12,37.48818,127.01751
방배동 541-2,철거신고,8,37.4798789,126.9939103
문정동 136-,착공신고,9,36.7971,128.60653
흑석동 99-3,조합설립추진위원회승인,3,37.5064393,126.963687
개봉동 312-38,착공신고,9,37.4931629,126.851736
수색동 189,일반분양승인,10,37.585187250000004,126.8948584489098
화양동 35-4,이전고시,7,37.54408,127.06895
노량진동 294-220,관리처분인가,6,37.5110101,126.9414634
노량진동 270-3,관리처분인가,6,37.5110101,126.9414634
홍제동 326-5,조합설립인가,4,37.5871,126.94676
개포동 189,준공인가,11,37.48421,127.07006
대치동 316,조합설립인가,4,37.5027147,127.0672718
방배동 818-14,착공신고,9,37.4798789,126.9939103
홍제동 306-2,조합설립추진위원회승인,3,37.5871,126.94676
수색동 115-5,일반분양승인,10,37.585187250000004,126.8948584489098
월계동 672,조합청산,12,35.2141311,126.8385309
공릉동 230,이전고시,7,37.63021,127.08818
도봉동 95,착공신고,9,37.6826056,127.0425405
암사동 495,조합설립인가,4,37.5582352,127.1308542
상도동 154-30,조합설립인가,4,37.4988159,126.9441045
길음동 31-1,조합설립인가,4,37.6085308,127.0201946
신정동 1200-1,사업시행인가,5,35.53487,129.31199
압구정동 490,조합설립인가,4,37.5300432,127.0313346
정릉동 506-159,사업시행인가,5,37.61654,126.99794
잠실동 320,사업시행인가,5,37.5122807,127.0855986
수색동 30-2,이전고시,7,37.58607,126.89308
화양동 499-18,조합해산,13,37.54408,127.06895
잠원동 60-78,조합설립인가,4,37.518254400000004,127.01240284968915
창전동 27-19,조합해산,13,37.55007,126.92938
한강로2가 2-138,사업시행인가,5,37.53142,126.9685
방배동 1028-1,조합청산,12,37.4798789,126.9939103
홍은동 13-25,준공인가,11,37.59296,126.93733
아현동 662,준공인가,11,37.550546999999995,126.95246389042379
용두동 253,조합해산,13,37.57616,127.03476
방배동 891-3,사업시행인가,5,37.4798789,126.9939103
답십리동 98,조합해산,13,37.573723,127.0577776
금호동2가 684,조합설립추진위원회승인,3,37.55311,127.0211
대림동 700-1,조합설립인가,4,37.4957573,126.899936
이문동 168-1,조합설립인가,4,37.60021,127.06124
고척동 241-63,조합설립인가,4,37.5034631,126.8585846
공덕동 119,조합설립인가,4,37.549927049999994,126.95928971994923
옥수동 220-1,사업시행인가,5,37.54176,127.01648
영등포동5가 22-3,조합설립인가,4,37.52095,126.9066
문래동2가 14-84,정비구역지정,2,37.5128036,126.8929788
신길동 240-16,조합청산,12,37.3335204,126.77378
동소문동2가  33,조합설립인가,4,37.58839,127.00785
영등포동5가 30,조합설립인가,4,37.52095,126.9066
신길동 1583-1,조합해산,13,37.3335204,126.77378
문래동5가 22-,관리처분인가,6,37.51588,126.88411
공항동 18,관리처분인가,6,37.55413915,126.81799595947007
오류동 156-15,관리처분인가,6,36.3253384,127.4050329
잠원동 61-2,조합설립인가,4,37.518254400000004,127.01240284968915
방배동 992-1,조합해산,13,37.4798789,126.9939103
상도동 356-159,조합설립인가,4,36.01528,129.35519
성내동 288-1,조합설립인가,4,37.52998,127.12875
신사동 261-20,조합설립인가,4,37.52232055,127.02770186675215
대치동 63,사업시행인가,5,37.49882,127.06566
신천동 7-,조합설립인가,4,37.43961375,126.77885557449832
사직동 311-10,사업시행인가,5,37.5738317,126.97030324117736
남가좌동 124-1,조합해산,13,37.57744,126.9179
홍은동 441-1,조합해산,13,37.59296,126.93733
문래동4가 23-6,조합설립인가,4,37.514477,126.8898892
가산동 547-44,조합설립추진위원회승인,3,37.47532525,126.88639535805152
하월곡동 88-142,관리처분인가,6,37.60444,127.03764
장위동 289,착공신고,9,37.6162,127.05086
정릉동 757,관리처분인가,6,37.61654,126.99794
방화동 608-97,철거신고,8,37.57682,126.81422
신길동 145-40,조합청산,12,37.3335204,126.77378
마포동 350,조합설립추진위원회승인,3,37.53672,126.94288
석관동 332-46,조합설립인가,4,37.60789015,127.06148520004993
중곡동 18-24,정비구역지정,2,37.56286,127.08921
이촌동 302-48,조합설립인가,4,37.52086,126.96612
이촌동 402,조합설립인가,4,37.52086,126.96612
대치동 65-,사업시행인가,5,37.49882,127.06566
이촌동 300-10,조합설립인가,4,37.52086,126.96612
신림동 316-55,일반분양승인,10,37.48682825,126.92826657522511
신림동 1448-1,조합설립인가,4,37.48682825,126.92826657522511
교남동 62-1,조합해산,13,37.5716654,126.96339035786244
궁동 236-1,조합설립인가,4,37.5006694,126.8280726
상봉동 88,사업시행인가,5,35.203496599999994,128.07191852499722
여의도동 32,안전진단,0,37.5189754,126.9389194
