진행단계,정비구역명칭,정비구역면적(㎡),사업구분,재건축단계,서울시_정비구역위치,Latitude,Longitude,cate_code
조합설립추진위원회승인,후암동제1구역주택재건축정비사업조합설립추진위원회,100000.0,재건축,조합 설립 전,서울시 용산구 후암동 142-4번지 일대,37.548737,126.9746997,3
조합설립인가,왕궁아파트주택재건축정비사업조합,17621.5,재건축,조합 설립 전,서울시 용산구 이촌1동 300-11,37.5171578,126.9782418,4
조합설립추진위원회승인,신대방역세권 도시정비형 재개발정비사업,587.47,재개발(도시정비형),조합 설립 전,서울시 동작구 신대방동 600-14,37.4895897,126.9116806,3
조합설립인가,장위13의8구역 가로주택정비사업,8366.8,가로주택정비,조합 설립 전,서울시 성북구 장위동 219-114,37.6177901,127.0445696,4
조합설립인가,대광빌라 가로주택정비사업,5263.8,가로주택정비,조합 설립 전,서울시 성북구 안암동3가 54-0,37.5851329,127.0225221,4
조합설립인가,여의도 한양아파트 재건축정비사업,36363.0,재건축,조합 설립 전,서울시 영등포구 여의도동 42-0,37.5214745,126.9325037,4
조합설립인가,창신 1-6구역 도시정비형 재개발사업,3999.7,재개발(도시정비형),조합 설립 전,서울시 종로구 창신동 459-12,37.5713542,127.0120517,4
조합설립인가,가락현대6차아파트 가로주택정비사업조합,7549.06,가로주택정비,조합 설립 전,서울시 송파구 가락동 55번지,37.4972261,127.1226238,4
조합설립인가,고척동 241-11번지일대 가로주택정비사업,7990.18,가로주택정비,조합 설립 전,서울시 구로구 고척동 241-11번지,37.5073429,126.8481314,4
조합설립인가,소규모재건축사업,2146.85,소규모재건축,조합 설립 전,서울시 강서구 화곡동 359-124,37.5364111,126.8416089,4
조합설립인가,시흥동 920번지 일대 가로주택정비사업,6777.9,가로주택정비,조합 설립 전,서울시 금천구 시흥동 920-13,37.4505768,126.9077413,4
조합설립인가,자양7구역 주택재건축정비사업,44658.5,재건축,조합 설립 전,서울시 자양3동 464-40번지,37.532282,127.073471,4
조합설립추진위원회승인,봉천제13구역 공공재개발정비사업,12272.5,재개발(주택정비형),조합 설립 전,서울시 관악구 봉천동 913번지,37.4815011,126.9458974,3
